Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Code	Board Issue
2017-06-17 08:25:46	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	1.8.1	3012	200	0	false	0	
2017-06-17 08:25:53	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	1.8.2	928	9	0	false	0	
2017-06-17 08:25:56	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	1.8.2	2108	188	0	false	0	
2017-06-17 08:26:00	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	1.8.2	1888	188	0	false	0	
2017-06-17 08:26:04	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	1.8.2	1150	13	0	false	0	
2017-06-17 08:26:07	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.2	444	9	0	false	0	
2017-06-17 08:26:11	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	1.8.2	3012	200	0	false	0	
2017-06-17 08:26:17	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	1.8.3	928	9	0	false	0	
2017-06-17 08:26:21	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	1.8.3	2108	188	0	false	0	
2017-06-17 08:26:25	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	1.8.3	1888	188	0	false	0	
2017-06-17 08:26:29	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	1.8.3	1150	13	0	false	0	
2017-06-17 08:26:32	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	1.8.3	444	9	0	false	0	
2017-06-17 08:26:36	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	1.8.3	3012	200	0	false	0	
2017-06-17 08:26:43	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Blink/Blink.ino	arduino:avr:uno	hourly	928	9	0	false	0	
2017-06-17 08:26:46	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/DigitalReadSerial/DigitalReadSerial.ino	arduino:avr:uno	hourly	2108	188	0	false	0	
2017-06-17 08:26:50	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/AnalogReadSerial/AnalogReadSerial.ino	arduino:avr:uno	hourly	1888	188	0	false	0	
2017-06-17 08:26:53	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/Fade/Fade.ino	arduino:avr:uno	hourly	1150	13	0	false	0	
2017-06-17 08:26:57	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	arduino:avr:uno	hourly	444	9	0	false	0	
2017-06-17 08:27:00	519	519.2	https://travis-ci.org/per1234/arduino-ci-script/jobs/243932685	push	false	false	board-issue	e05784af42360ba9cdaaeb99c01efee4d170a0a7		Use the term "board issue" instead of "board error"	/home/travis/arduino-ide/arduino/examples/01.Basics/ReadAnalogVoltage/ReadAnalogVoltage.ino	arduino:avr:uno	hourly	3012	200	0	false	0	
